檔案名稱,編號,名稱,品質,描述,效果,觸發時機,自身成長,其他數值,價格,提示框,升級版,轉化獲得,備注
S3034.webp,67,照鏡子,普通,和牌時，如果同時有2個同點數的刻子，則對應牌的基礎分值+3分,+基礎分值,和牌時,無成長,"線性,基礎分值",3,基礎分值,否,否,國標：雙同刻
S3p034.webp,68,照鏡子+,普通,和牌時，如果同時有2個同點數的刻子，則對應牌的基礎分值+5分,+基礎分值,和牌時,無成長,"線性,基礎分值",3,基礎分值,是,是,國標：雙同刻
S3035.webp,69,最後一片拼圖,普通,和牌時，如果包含四張相同的牌，本護身符獲得+40分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,否,否,國標：四歸一（弱化版）
S3p035.webp,70,最後一片拼圖+,普通,和牌時，如果包含四張相同的牌，本護身符獲得+80分（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,3,,是,是,國標：四歸一（弱化版）
S3036.webp,71,百色戀人,普通,每當本護身符獲得任意印章時，獲得+50分。關卡開始前，本護身符獲得隨機印章。（當前為+0分）,"+分,印章","和牌時,關卡開始前","線性,出售時重置","線性,印章",3,印章,否,否,
S3p036.webp,72,百色戀人+,普通,每當本護身符獲得任意印章時，獲得+100分。關卡開始前，本護身符獲得隨機印章。（當前為+0分）,"+分,印章","和牌時,關卡開始前","線性,出售時重置","線性,印章",3,印章,是,是,
S3037.webp,73,點石成金,稀有,開槓後，槓牌成為魂牌,+魂牌,開槓後,無成長,"線性,魂牌",6,魂牌,否,否,
S3p037.webp,74,點石成金+,稀有,開槓後，槓牌和隨機1種牌成為魂牌,+魂牌,開槓後,無成長,"線性,魂牌",6,魂牌,是,是,
S3038.webp,75,赤色要塞,稀有,和牌時，5筒和5索視為紅寶牌。每張紅寶牌額外+50分,"+寶牌,+分",和牌時,無成長,無成長,6,,否,否,
S3p038.webp,76,赤色要塞+,稀有,和牌時，5筒和5索視為紅寶牌。每張紅寶牌額外+100分,"+寶牌,+分",和牌時,無成長,無成長,6,,是,是,
S3039.webp,77,連續沖刺,稀有,同一關卡內每和牌4次，本卡獲得x1番數（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p039.webp,78,連續沖刺+,稀有,同一關卡內每和牌3次，本卡獲得x1番數（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3040.webp,79,小豬儲蓄罐,稀有,關卡結束時獲得7星幣，每過2關後效果量+1,±星幣,關卡結束時,無成長,"線性,星幣",6,,否,否,
S3p040.webp,80,小豬儲蓄罐+,稀有,關卡結束時獲得7星幣，每次過關後效果量+1,±星幣,關卡結束時,無成長,"線性,星幣",6,,是,是,
S3041.webp,81,蓄電池,稀有,關卡結束時，本護身符獲得+N分。N為本關和牌的次數x10（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p041.webp,82,蓄電池+,稀有,關卡結束時，本護身符獲得+N分。N為本關和牌的次數x15（當前為+10分）,+分,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3042.webp,83,地底探險,稀有,公開最後6張摸牌,+公開牌,關卡開始時,無成長,無成長,6,,否,否,
S3p042.webp,84,地底探險+,稀有,公開最後9張摸牌,+公開牌,關卡開始時,無成長,無成長,6,,是,是,
S3043.webp,85,財源廣進,稀有,每關第1次和牌時，如果和牌的番數在13番及以上，則獲得13星幣,±星幣,首次和牌時,無成長,"線性,星幣",6,,否,否,
S3p043.webp,86,財源廣進+,稀有,每關第1次和牌時，如果和牌的番數在10番及以上，則獲得13星幣,±星幣,首次和牌時,無成長,"線性,星幣",6,,是,是,
S3044.webp,87,龍之加護,稀有,和牌時，每有1種三元牌時分數額外x2,x分,和牌時,無成長,無成長,6,三元牌,否,否,有3種三元牌時分x6
S3p044.webp,88,龍之加護+,稀有,和牌時，每有1種三元牌時分數額外x2且+3番,"x分,+番",和牌時,無成長,無成長,6,三元牌,是,是,有3種三元牌時分x6
S3045.webp,89,風之加護,稀有,和牌時，每有1種四風牌時分數額外x1.5,x分,和牌時,無成長,無成長,6,四風牌,否,否,有4種四風牌時分x6
S3p045.webp,90,風之加護+,稀有,和牌時，每有1種四風牌時分數額外x1.5且+3番,"x分,+番",和牌時,無成長,無成長,6,四風牌,是,是,有4種四風牌時分x6
S3046.webp,91,賞金獵人,稀有,聽牌時，如果手牌沒有重覆的牌，分數x4,x分,和牌時,無成長,無成長,6,,否,否,
S3p046.webp,92,賞金獵人+,稀有,聽牌時，如果手牌沒有重覆的牌，分數x5,x分,和牌時,無成長,無成長,6,,是,是,
S3047.webp,93,回收機器人,稀有,每出售1張護身符，本護身符獲得+30分（當前為+0分）,+分,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p047.webp,94,回收機器人+,稀有,每出售1張護身符，本護身符獲得+50分（當前為+0分）,+分,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3048.webp,95,能者多勞,稀有,每關第2次及之後的和牌，都可獲得2星幣,±星幣,非首次和牌時,無成長,"線性,星幣",6,,否,否,
S3p048.webp,96,能者多勞+,稀有,每關第2次及之後的和牌，都可獲得3星幣,±星幣,非首次和牌時,無成長,"線性,星幣",6,,是,是,
S3049.webp,97,無料物料,稀有,每在商店中刷新1次，本護身符獲得5倍刷新支付星幣數量的分數（當前為+0分）,+分,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p049.webp,98,無料物料+,稀有,每在商店中刷新1次，本護身符獲得10倍刷新支付星幣數量的分數（當前為+0分）,+分,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3050.webp,99,致幻蘑菇,稀有,和牌時，所有3番及以下役計為1到6的隨機番數,+番,和牌時,無成長,無成長,6,,否,否,可能會降低
S3p050.webp,100,致幻蘑菇+,稀有,和牌時，所有6番及以下役計為1到13的隨機番數,+番,和牌時,無成長,無成長,6,,是,是,可能會降低
S3051.webp,101,汪多魚,稀有,和牌時，每張筒子有30%概率獲得1星幣,±星幣,和牌時,無成長,"線性,星幣",6,,否,否,
S3p051.webp,102,汪多魚+,稀有,和牌時，每張筒子有50%概率獲得1星幣,±星幣,和牌時,無成長,"線性,星幣",6,,是,是,
S3052.webp,103,四君子：梅,稀有,+6番。集齊四君子時，將它們合成為君子之約,"+番,可轉化",和牌時,可轉化,無成長,6,四君子,否,否,
S3p052.webp,104,四君子：梅+,稀有,+9番。集齊四君子時，將它們合成為君子之約+,"+番,可轉化",和牌時,可轉化,無成長,6,四君子+,是,是,
S3053.webp,105,四君子：蘭,稀有,+100分。集齊四君子時，將它們合成為君子之約,"+分,可轉化",和牌時,可轉化,無成長,6,四君子,否,否,
S3p053.webp,106,四君子：蘭+,稀有,+150分。集齊四君子時，將它們合成為君子之約+,"+分,可轉化",和牌時,可轉化,無成長,6,四君子+,是,是,
S3054.webp,107,四君子：竹,稀有,關卡結束時，獲得8星幣。集齊四君子時，將它們合成為君子之約,"±星幣,可轉化",和牌時,可轉化,"線性,星幣",6,四君子,否,否,
S3p054.webp,108,四君子：竹+,稀有,關卡結束時，獲得12星幣。集齊四君子時，將它們合成為君子之約+,"±星幣,可轉化",和牌時,可轉化,"線性,星幣",6,四君子+,是,是,
S3055.webp,109,四君子：菊,稀有,公開牌數量+5。集齊四君子時，將它們合成為君子之約,"+公開牌,可轉化",和牌時,可轉化,無成長,6,四君子,否,否,
S3p055.webp,110,四君子：菊+,稀有,公開牌數量+8。集齊四君子時，將它們合成為君子之約+,"+公開牌,可轉化",和牌時,可轉化,無成長,6,四君子+,是,是,
S3056.webp,111,一眼萬年,稀有,如果本關你未進行過換牌番數xN。N為剩余換牌次數+1,x番,和牌時,無成長,無成長,6,,否,否,
S3p056.webp,112,一眼萬年+,稀有,如果本關你未進行過換牌番數xN。N為剩余換牌次數+3,x番,和牌時,無成長,無成長,6,,是,是,
S3057.webp,113,汪的財寶,稀有,關卡獎勵額外獲得1倍,±星幣,關卡結束時,無成長,"線性,星幣",6,,否,否,
S3p057.webp,114,汪的財寶+,稀有,關卡獎勵額外獲得2倍,±星幣,關卡結束時,無成長,"線性,星幣",6,,是,是,
S3058.webp,115,加油助力,稀有,和牌時如果自摸的是寶牌，則自摸牌變為魂牌,+魂牌,和牌時,無成長,"線性,魂牌",6,魂牌,否,否,
S3p058.webp,116,加油助力+,稀有,和牌時如果自摸的是寶牌，則自摸牌變為魂牌且額外+3番,"+魂牌,+番",和牌時,無成長,"線性,魂牌",6,魂牌,是,是,
S3059.webp,117,巔峰盲盒,稀有,滿足500%以過關分數時，使隨機1種牌成為魂牌,+魂牌,和牌時,無成長,"線性,魂牌",6,魂牌,否,否,原文如此
S3p059.webp,118,巔峰盲盒+,稀有,滿足500%以過關分數時，使隨機2種牌成為魂牌,+魂牌,和牌時,無成長,"線性,魂牌",6,魂牌,是,是,原文如此
S3060.webp,119,黃金礦工,稀有,每關第1次和牌時，每有1張魂牌則+2星幣,±星幣,首次和牌時,無成長,"線性,星幣",6,魂牌,否,否,
S3p060.webp,120,黃金礦工+,稀有,每關第1次和牌時，每有1張魂牌則+4星幣,±星幣,首次和牌時,無成長,"線性,星幣",6,魂牌,是,是,
S3061.webp,121,萌生情感,稀有,鎖定3張待摸牌。所有鎖定牌的基礎分值+15分,"+鎖定牌,+基礎分值",關卡開始時,無成長,"線性,基礎分值",6,"鎖定,基礎分值",否,否,
S3p061.webp,122,萌生情感+,稀有,鎖定3張待摸牌。所有鎖定牌的基礎分值+30分,"+鎖定牌,+基礎分值",關卡開始時,無成長,"線性,基礎分值",6,"鎖定,基礎分值",是,是,
S3062.webp,123,一姬克星,稀有,和牌時，所有順子或刻子中每包含1張幺九牌，本護身符獲得+1番（當前為+0番）,+番,和牌時,"線性,出售時重置",無成長,6,幺九牌,否,否,不計七對、國士無雙和雀頭
S3p062.webp,124,一姬克星+,稀有,和牌時，所有順子或刻子中每包含1張幺九牌，本護身符獲得+2番（當前為+0番）,+番,和牌時,"線性,出售時重置",無成長,6,幺九牌,是,是,不計七對、國士無雙和雀頭
S3063.webp,125,大蛇瞪眼,稀有,關卡開始時，公開隨機花色待摸牌6張。（每關會隨機花色）,+公開牌,關卡開始時,無成長,無成長,6,花色,否,否,
S3p063.webp,126,大蛇瞪眼+,稀有,關卡開始時，公開所有的花色待摸牌。（每關會隨機花色）,+公開牌,關卡開始時,無成長,無成長,6,花色,是,是,
S3064.webp,127,違規燃放,稀有,鎖定3張待摸牌。每鎖定6張牌後本護身符獲得x1番（當前為x1番，還需鎖定6張）,"+鎖定牌,x番","關卡開始時,和牌時","線性,出售時重置",無成長,6,鎖定,否,否,
S3p064.webp,128,違規燃放+,稀有,鎖定3張待摸牌。每鎖定6張牌後本護身符獲得x2番（當前為x1番，還需鎖定6張）,"+鎖定牌,x番","關卡開始時,和牌時","線性,出售時重置",無成長,6,鎖定,是,是,
S3065.webp,129,煙花加特林,稀有,x15番。關卡結束時，本護身符消失,"x番,自毀","和牌時,關卡結束時",無成長,無成長,6,,否,否,
S3p065.webp,130,煙花加特林+,稀有,x30番。關卡結束時，本護身符消失,"x番,自毀","和牌時,關卡結束時",無成長,無成長,6,,是,是,
S3066.webp,131,偷天換日,稀有,鎖定6張待摸牌。換牌次數+2,"+鎖定牌,+換牌次數",關卡開始時,無成長,無成長,6,鎖定,否,否,
S3p066.webp,132,偷天換日+,稀有,鎖定6張待摸牌。換牌次數+3,"+鎖定牌,+換牌次數",關卡開始時,無成長,無成長,6,鎖定,是,是,
S3067.webp,133,已讀不回,稀有,鎖定3張待摸牌。公開牌數量+6,"+鎖定牌,+公開牌",關卡開始時,無成長,無成長,6,鎖定,否,否,
S3p067.webp,134,已讀不回+,稀有,鎖定3張待摸牌。公開牌數量+9,"+鎖定牌,+公開牌",關卡開始時,無成長,無成長,6,鎖定,是,是,
S3068.webp,135,護身符黃牛,稀有,每次進入商店時，必定有1個最高品質的護身符包，它的價格加倍,商店,進入商店時,無成長,無成長,6,品質,否,否,
S3p068.webp,136,護身符黃牛+,稀有,每次進入商店時，必定有2個最高品質的護身符包，它們的價格加倍,商店,進入商店時,無成長,無成長,6,品質,是,是,
S3069.webp,137,傳國美玉,稀有,如果自摸牌與前3張寶牌指示牌相同，則使它變為魂牌,+魂牌,和牌時,無成長,"線性,魂牌",6,魂牌,否,否,
S3p069.webp,138,傳國美玉+,稀有,如果自摸牌與寶牌指示牌相同，則使它變為魂牌,+魂牌,和牌時,無成長,"線性,魂牌",6,魂牌,是,是,
S3070.webp,139,魔豆,稀有,自摸和牌13張索子牌後，成長為通天藤蔓（還剩13張）,可轉化,和牌時,"出售時重置,可轉化",無成長,6,"基礎分值,通天藤蔓,無限獲取",否,否,可以被【嵐星·影分身(+)】覆制
S3p070.webp,140,魔豆+,稀有,自摸和牌13張索子牌後，成長為通天藤蔓+（還剩13張）,可轉化,和牌時,"出售時重置,可轉化",無成長,6,"基礎分值,通天藤蔓+,無限獲取",是,是,可以被【嵐星·影分身(+)】覆制
S3071.webp,141,快速列車,稀有,和牌時，如果完成了七對子，本護身符獲得x0.2番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p071.webp,142,快速列車+,稀有,和牌時，如果完成了七對子，本護身符獲得x0.4番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3072.webp,143,摸魚臨時工,稀有,x1番。完成換牌後，如果你連續摸切9張及以上的牌，每張為本護身符獲得x0.1番（已累計0張）,x番,和牌時,"線性,出售時重置",無成長,6,摸切,否,否,
S3p072.webp,144,摸魚臨時工+,稀有,x1番。完成換牌後，如果你連續摸切9張及以上的牌，每張為本護身符獲得x0.2番（已累計0張）,x番,和牌時,"線性,出售時重置",無成長,6,摸切,是,是,
S3073.webp,145,雙學位,稀有,每當1張牌的基礎分值變動且超過100時，使其成為魂牌,+魂牌,基礎分數變動時,無成長,"線性,魂牌",6,"基礎分值,魂牌",否,否,
S3p073.webp,146,雙學位+,稀有,每當1張牌的基礎分值變動且超過75時，使其成為魂牌,+魂牌,基礎分數變動時,無成長,"線性,魂牌",6,"基礎分值,魂牌",是,是,
S3074.webp,147,票子要伐,稀有,每當出售1張品質為傳說以上的護身符時，本護身符獲得每張魂牌額外+4番的效果（當前每張魂牌1番）,+番,和牌時,"線性,出售時重置",無成長,6,"品質,魂牌",否,否,
S3p074.webp,148,票子要伐+,稀有,每當出售1張品質為傳說以上的護身符時，本護身符獲得每張魂牌額外+6番的效果（當前每張魂牌1番）,+番,和牌時,"線性,出售時重置",無成長,6,"品質,魂牌",是,是,
S3075.webp,149,御龍術,稀有,鎖定3張待摸牌。每有1張三元牌被鎖定時，本護身符獲得x1.5番（當前為x1番）,"+鎖定牌,x番","關卡開始時,和牌時","線性,出售時重置",無成長,6,"鎖定,三元牌",否,否,
S3p075.webp,150,御龍術+,稀有,鎖定3張待摸牌。每有1張三元牌被鎖定時，本護身符獲得x3番（當前為x1番）,"+鎖定牌,x番","關卡開始時,和牌時","線性,出售時重置",無成長,6,"鎖定,三元牌",是,是,
S3076.webp,151,煙花上膛,稀有,鎖定3張待摸牌。每有1張寶牌被鎖定時，本護身符獲得每張鎖定牌額外+2番的效果（當前每張鎖定牌1番）,"+鎖定牌,+番","關卡開始時,和牌時","線性,出售時重置",無成長,6,鎖定,否,否,
S3p076.webp,152,煙花上膛+,稀有,鎖定3張待摸牌。每有1張寶牌被鎖定時，本護身符獲得每張鎖定牌額外+3番的效果（當前每張鎖定牌1番）,"+鎖定牌,+番","關卡開始時,和牌時","線性,出售時重置",無成長,6,鎖定,是,是,
S3077.webp,153,紅包拿來,稀有,關卡結束時，獲得20個星幣。關卡開始時，減少20個星幣。,±星幣,"關卡結束時,關卡開始時",無成長,"線性,星幣",6,,否,否,若少於 20 個星幣則變為 0
S3p077.webp,154,紅包拿來+,稀有,關卡結束時，獲得30個星幣。關卡開始時，減少30個星幣。,±星幣,"關卡結束時,關卡開始時",無成長,"線性,星幣",6,,是,是,若少於 30 個星幣則變為 0
S3078.webp,155,摩天大樓,稀有,和牌時，如果自摸的是索子，本護身符隨機獲得x1.5番或是減少x1番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p078.webp,156,摩天大樓+,稀有,和牌時，如果自摸的是索子，本護身符隨機獲得x2番或是減少x1番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3079.webp,157,車輪滾滾,稀有,和牌時，每有1個筒子的刻子則獲得3星幣,±星幣,和牌時,無成長,"線性,星幣",6,,否,否,
