檔案名稱,編號,名稱,品質,描述,效果觸發時機,效果,自身成長,其他數值成長,備注
S3032.webp,32,秘籍：亂步+,普通,+320分/+640分，前12張摸牌和牌時+12番/+24番，最後12張摸牌和牌時+8番/+16番，每摸6張牌後+10分/+20分。（關卡開始時重置）,和牌時,"＋分,＋番","綫性,關開重置",無成長,可由 4 個【秘籍】合成而來，其中至少有 1 個是升級版
S3033.webp,33,雲上森林+,普通,=+0分。效果量等同於本局遊戲中魂牌種數的30倍/60倍,和牌時,＋分,"綫性,取決於其他數值",無成長,
S3034.webp,34,照鏡子+,普通,和牌時，如果同時有2個同點數的刻子，則對應牌的基礎分值+3分/+5分,和牌時,＋基礎分值,無成長,"線性,基礎分值",國標：雙同刻
S3035.webp,35,最後一片拼圖+,普通,和牌時，如果包含四張相同的牌，本護身符獲得+40分/+80分（當前為+10分）,和牌時,＋分,"綫性,售出重置",無成長,國標：四歸一（弱化版）
S3036.webp,36,百色戀人+,普通,每當本護身符獲得任意印章時，獲得+50分/+100分。關卡開始前，本護身符獲得隨機印章。（當前為+0分）,"和牌時,關卡開始前","＋分,印章","綫性,售出重置","線性,印章",
S3037.webp,37,點石成金+,稀有,開杠後，杠牌成為魂牌（強化版：另有隨機1種牌成為魂牌）,開杠後,＋魂牌,無成長,"線性,魂牌",
S3038.webp,38,赤色要塞+,稀有,和牌時，5筒和5索視為紅寶牌。每張紅寶牌額外+50分/+100分,和牌時,"＋寶牌,＋分",無成長,無成長,
S3039.webp,39,連續沖刺+,稀有,同一關卡內每和牌4次，本卡獲得x1番數/每和牌3次本卡獲得x1番數（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3040.webp,40,小豬儲蓄罐+,稀有,關卡結束時獲得7星幣，每過2關後效果量+1/每次過關後效果量+1,關卡結束時,±星幣,無成長,"線性,星幣",
S3041.webp,41,蓄電池+,稀有,關卡結束時，本護身符獲得+N分。N為本關和牌次數x10/x15（當前為+10分）,和牌時,＋分,"綫性,售出重置",無成長,
S3042.webp,42,地底探險+,稀有,公開最後6張摸牌/公開最後9張摸牌,關卡開始時,＋公開牌,無成長,無成長,
S3043.webp,43,財源廣進+,稀有,每關第1次和牌時，如果和牌的番數在13番及以上，則獲得13星幣/如果番數在10番及以上則獲得13星幣,首次和牌時,±星幣,無成長,"線性,星幣",
S3044.webp,44,龍之加護+,稀有,和牌時，每有1種三元牌時分數額外x2/x2且+3番,和牌時,"×分,＋番",無成長,無成長,有3種三元牌時分x6
S3045.webp,45,風之加護+,稀有,和牌時，每有1種四風牌時分數額外x1.5/x1.5且+3番,和牌時,"×分,＋番",無成長,無成長,有4種四風牌時分x6
S3046.webp,46,賞金獵人+,稀有,聽牌時，如果手牌沒有重覆的牌，分數x4/x5,和牌時,×分,無成長,無成長,
S3047.webp,47,回收機器人+,稀有,每出售1張護身符，本護身符獲得+30分/+50分（當前為+0分）,和牌時,＋分,"綫性,售出重置",無成長,
S3048.webp,48,能者多勞+,稀有,每關第2次及之後的和牌，都可獲得2星幣/3星幣,非首次和牌時,±星幣,無成長,"線性,星幣",
S3049.webp,49,無料物料+,稀有,每在商店中刷新1次，本護身符獲得5倍/10倍刷新支付星幣數量的分數（當前為+0分）,和牌時,＋分,"綫性,售出重置",無成長,
S3050.webp,50,致幻蘑菇+,稀有,和牌時，所有3番及以下役計為1到6的隨機番數/所有6番及以下役計為1到13的隨機番數,和牌時,＋番,無成長,無成長,可能會降低
S3051.webp,51,汪多魚+,稀有,和牌時，每張筒子有30%/50%概率獲得1星幣,和牌時,±星幣,無成長,"線性,星幣",
S3052.webp,52,四君子：梅+,稀有,=+6番/+9番。集齊四君子時，將它們合成為君子之約/君子之約+,和牌時,"＋番,可轉化",可轉化,無成長,
S3053.webp,53,四君子：蘭+,稀有,=+100分/+150分。集齊四君子時，將它們合成為君子之約/君子之約+,和牌時,"＋分,可轉化",可轉化,無成長,
S3054.webp,54,四君子：竹+,稀有,關卡結束時，獲得8星幣/12星幣。集齊四君子時，將它們合成為君子之約/君子之約+,和牌時,"±星幣,可轉化",可轉化,"線性,星幣",
S3055.webp,55,四君子：菊+,稀有,公開牌數量+5/+8。集齊四君子時，將它們合成為君子之約/君子之約+,和牌時,"＋公開牌,可轉化",可轉化,無成長,
S3056.webp,56,一眼萬年+,稀有,如果本關你未進行過換牌番數xN。N為剩余換牌次數+1/+3,和牌時,×番,無成長,無成長,
S3057.webp,57,汪的財寶+,稀有,關卡獎勵額外獲得1倍/2倍,關卡結束時,±星幣,無成長,"線性,星幣",
S3058.webp,58,加油助力+,稀有,和牌時如果自摸的是寶牌，則自摸牌變為魂牌（強化版：額外+3番）,和牌時,"＋魂牌,＋番",無成長,"線性,魂牌",
S3059.webp,59,巔峰盲盒+,稀有,滿足500%以過關分數時，使隨機1種牌/2種牌成為魂牌,和牌時,＋魂牌,無成長,"線性,魂牌",原文如此
S3060.webp,60,黃金礦工+,稀有,每關第1次和牌時，每有1張魂牌則+2星幣/+4星幣,首次和牌時,±星幣,無成長,"線性,星幣",
S3061.webp,61,萌生情感+,稀有,鎖定3張待摸牌。所有鎖定牌的基礎分值+15分/+30分,關卡開始時,"=＋鎖定牌,＋基礎分值",無成長,"線性,基礎分值",
S3062.webp,62,一姬克星+,稀有,和牌時，所有順子或刻子中每包含1張幺九牌，本護身符獲得+1番/+2番（當前為+0番）,和牌時,＋番,"綫性,售出重置",無成長,不計七對、國士無雙和雀頭
S3063.webp,63,大蛇瞪眼+,稀有,關卡開始時，公開隨機花色待摸牌6張/公開所有花色待摸牌,關卡開始時,＋公開牌,無成長,無成長,
S3064.webp,64,違規燃放+,稀有,鎖定3張待摸牌。每鎖定6張牌後本護身符獲得x1番/x2番（當前為x1番，還需鎖定6張）,"關卡開始時,和牌時","＋鎖定牌,×番","綫性,售出重置",無成長,
S3065.webp,65,煙花加特林+,稀有,x15番/x30番。關卡結束時，本護身符消失,"和牌時,關卡結束時","×番,自毀",無成長,無成長,
S3066.webp,66,偷天換日+,稀有,鎖定6張待摸牌。換牌次數+2/+3,關卡開始時,"＋鎖定牌,＋換牌次數",無成長,無成長,
S3067.webp,67,已讀不回+,稀有,鎖定3張待摸牌。公開牌數量+6/+9,關卡開始時,"＋鎖定牌,＋公開牌",無成長,無成長,
S3068.webp,68,護身符黃牛+,稀有,每次進入商店時，必定有1個/2個最高品質護身符包，它們的價格加倍,進入商店時,商店,無成長,無成長,
S3069.webp,69,傳國美玉+,稀有,如果自摸牌與前3張寶牌指示牌相同/與寶牌指示牌相同，則使它變為魂牌,和牌時,＋魂牌,無成長,"線性,魂牌",
S3070.webp,70,魔豆+,稀有,自摸和牌13張索子牌後，成長為通天藤蔓/通天藤蔓+（還剩13張）,和牌時,可轉化,"售出重置,可轉化",無成長,可以被【嵐星·影分身(+)】覆制
S3071.webp,71,快速列車+,稀有,和牌時，如果完成了七對子，本護身符獲得x0.2番/x0.4番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3072.webp,72,摸魚臨時工+,稀有,x1番。完成換牌後，如果你連續摸切9張/9張以上的牌，每張為本護身符獲得x0.1番/x0.2番（已累計0張）,和牌時,×番,"綫性,售出重置",無成長,
S3073.webp,73,雙學位+,稀有,每當1張牌的基礎分值變動且超過100/75時，使其成為魂牌,基礎分數變動時,＋魂牌,無成長,"線性,魂牌",
S3074.webp,74,票子要嗎+,稀有,每當出售1張品質為傳說以上的護身符時，本護身符獲得每張魂牌額外+4番/+6番的效果（當前每張魂牌1番）,和牌時,＋番,"綫性,售出重置",無成長,
S3075.webp,75,御龍術+,稀有,鎖定3張待摸牌。每有1張三元牌被鎖定時，本護身符獲得x1.5番/x3番（當前為x1番）,"關卡開始時,和牌時","＋鎖定牌,×番","綫性,售出重置",無成長,
S3076.webp,76,煙花上膛+,稀有,鎖定3張待摸牌。每有1張寶牌被鎖定時，本護身符獲得每張鎖定牌額外+2番/+3番的效果（當前每張鎖定牌1番）,"關卡開始時,和牌時","＋鎖定牌,＋番","綫性,售出重置",無成長,
S3077.webp,77,紅包拿來+,稀有,關卡結束時，獲得20/30星幣。關卡開始時，減少20/30星幣,"關卡結束時,關卡開始時",±星幣,無成長,"線性,星幣",若少於 30 個星幣則變為 0
S3078.webp,78,摩天大樓+,稀有,和牌時，如果自摸的是索子，本護身符隨機獲得x1.5/x2番或減少x1番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3079.webp,79,車輪滾滾+,稀有,和牌時，每有1個筒子的刻子則獲得3/5星幣,和牌時,±星幣,無成長,"線性,星幣",
S3080.webp,80,熒光帶魚+,稀有,和牌時，如果包含點數為1-9的筒子，則獲得4/6星幣,和牌時,±星幣,無成長,"線性,星幣",
S3081.webp,81,通天藤蔓+,稀有,和牌時，索子的基礎分值計為3倍/5倍。關卡結束時使隨機1/2種索子牌的基礎分值x1.3,和牌時,"＋分, ＋基礎分值",無成長,"指數,基礎分值",可由【魔豆+】或右側為【魔豆+】的【嵐星·影分身(+)】轉化而來
S3082.webp,82,君子之約+,稀有,=+15番/+25番，+300分/+500分，公開牌數量+10/+15。關卡結束時獲得20/30星幣,"和牌時,關卡開始時,關卡結束時","＋番,＋分,＋公開牌,±星幣",無成長,"線性,星幣",可由 4 個【四君子】合成而來，其中至少有 1 個是升級版
S3083.webp,83,2倍辣,稀有,x1番/x2番。效果量等同於本護身符升級次數的2倍。關卡結束時或自摸紅寶牌時升級（可無限升級）,和牌時,×番,"綫性,售出重置",無成長,
S3084.webp,84,雲朵藥水+,稀有,和牌時，使最右側1/2張護身符獲得隨機印章。關卡結束時，本護身符消失,"和牌時,關卡結束時","印章,自毀",無成長,"線性,印章",
S3085.webp,85,吸星器+,稀有,每次進入商店時，星幣超過20的部分改由本護身符存儲+0分。效果量等同於存儲星幣數量的10倍/20倍（當前已存儲0星幣，出售時全額返還）,"和牌時,出售時","＋分,±星幣","綫性,售出重置","線性,星幣",
S3086.webp,86,百老匯+,稀有,和牌時，每張手牌的基礎分值+1分/+2分,和牌時,＋基礎分值,無成長,"線性,基礎分值",
S3087.webp,87,不知名收藏家+,稀有,每當你獲得1張帶有印章的護身符時，本護身符獲得x1番/x2番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3088.webp,88,極速安檢+,稀有,在第10張待摸牌前即滿足過關分數時，關卡獎勵額外獲得3倍/5倍,關卡結束時,±星幣,無成長,"線性,星幣",
S3089.webp,89,老頭樂+,稀有,開杠後，如果摸到的是幺九牌，則所有幺九牌的基礎分值+19分/+29分,開杠後,＋基礎分值,無成長,"線性,基礎分值",
S3090.webp,90,噴漆工人+,稀有,關卡結束時，使1張/2張護身符獲得隨機印章,關卡結束時,印章,無成長,"線性,印章",可能覆蓋已有印章
S3091.webp,91,蹺蹺板+,稀有,關卡開始時，如果星幣數量沒有超過20，則本護身符獲得x1.5番/x3番，反之則失去x3番/x6番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3092.webp,92,相遇天使+,稀有,=+0分。效果量等同於本局遊戲中每次開包發現與獲得本護身符次數的30倍/60倍,和牌時,＋分,"綫性,取決於其他數值",無成長,
S3093.webp,93,嶺上之花+,傳說,聽牌後，開杠時必定可以嶺上開花。嶺上開花額外+4番/+8番,"開杠後,和牌時","＋和牌次數,＋番",無成長,無成長,
S3094.webp,94,海底皎月+,傳說,聽牌後，最後1張摸牌必定海底摸月和牌（強化版：海底摸月額外+8番）,"摸牌時,和牌時","＋和牌次數,＋番",無成長,無成長,
S3095.webp,95,羽化成仙+,傳說,換牌或舍牌時，每包含1張寶牌或魂牌，本護身符+20分/+30分（當前為+0分）,和牌時,＋分,"綫性,售出重置",無成長,
S3096.webp,96,欽差關防+,傳說,公開牌數量+10/+15,關卡開始時,＋公開牌,無成長,無成長,
S3097.webp,97,役滿大師+,傳說,和牌時，如果完成了役滿役種，則本護身符獲得x0.8番/x1.2番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3098.webp,98,績效獎勵+,傳說,滿足過關分數時，每剩余1張待摸牌則+1星幣/+2星幣,滿足過關分數時,±星幣,無成長,"線性,星幣",
S3099.webp,99,開鎖大師+,傳說,鎖定3張待摸牌。每鎖定18張牌後使本護身符分數x1.3/x1.5（當前為+50分，還需鎖定18張）,"關卡開始時,和牌時","＋鎖定牌,×番","指數,售出重置",無成長,
S3100.webp,100,公子買單+,傳說,購買1個護身符包後，本護身符獲得x0.2番/x0.3番。但是每個護身符包只提供2個選項（當前為x1番）,"和牌時,打開護身符包時","×番,商店","綫性,售出重置",無成長,
S3101.webp,101,幻影役滿+,傳說,和牌時，將1個隨機役種計為13番/將2個隨機役種計為26番，並視為役滿役種,和牌時,＋番,無成長,無成長,
S3102.webp,102,花火主唱姬川響+,傳說,每當有1種牌的基礎分值增加時，使增加量計為2倍/2.5倍,基礎分數變動時,＋基礎分值,無成長,"線性,基礎分值",
S3103.webp,103,類魂遊戲+,傳說,和牌時，如果完成了役滿役種，本護身符獲得每張魂牌額外+5番/+8番的效果（當前每張魂牌1番）,和牌時,＋番,"綫性,售出重置",無成長,
S3104.webp,104,萬里挑一+,傳說,聽牌後，摸到一萬時必定可以和牌/摸到萬子牌時必定可以和牌,摸牌時,＋和牌次數,無成長,無成長,
S3105.webp,105,神社大舞台+,傳說,聽牌後，如果你連續摸切9張/6張牌，則下1張牌必定可以和牌（已連續摸切0張）,摸牌時,＋和牌次數,無成長,無成長,
S3106.webp,106,吞金幼龍琳瑯+,傳說,每當獲得星幣時，吃掉一半！吃掉的每個星幣可使本護身符獲得x0.2番/x0.3番（當前為x1番）,"獲得星幣時,和牌時","±星幣,×番","綫性,售出重置","線性,星幣",
S3107.webp,107,百花繚亂+,傳說,和牌時，如果同時達成6個役種，本護身符獲得x2番/x3番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3108.webp,108,負重前行+,傳說,x1番。每當你沒有換牌時，本護身符的番數效果+30%/+50%,和牌時,×番,"指數,售出重置",無成長,
S3109.webp,109,王之召喚+,傳說,和牌時，如果自摸的是魂牌，本護身符獲得x1番和每張魂牌額外+1番/+2番的效果（當前為x1番，每張魂牌1番）,和牌時,"×番,＋番","綫性,售出重置",無成長,
S3110.webp,110,儲備糧食+,傳說,每當你沒有換牌時，每剩余2次換牌可使隨機1張牌成為魂牌/每剩余1次換牌可使隨機1張牌成為魂牌,換牌時,＋魂牌,無成長,"線性,魂牌",
S3111.webp,111,無邊黑洞+,傳說,和牌時，如果自摸的是索子，使隨機1/2種索子牌的基礎分值x1.1,和牌時,＋基礎分值,無成長,"指數,基礎分值",
S3112.webp,112,小遊戲達人+,傳說,每當你對1張牌進行鎖定、新增魂牌和增加基礎分值時，本護身符獲得x0.2番/x0.3番（當前為x1番）,和牌時,×番,"綫性,售出重置",無成長,
S3113.webp,113,晚會邀請函+,傳說,本護身符的升級版會隨機變為1張神話護身符/本護身符會隨機變為1張神話護身符,擁有時,"護身符,可轉化,自毀",無成長,"線性,護身符",
S3114.webp,114,驚喜發明家未來+,傳說,關卡結束時，進行1次/2次發明，可能獲得非常特別稀有的護身符（需有空位）,關卡結束時,護身符,無成長,"線性,護身符",
S3115.webp,115,耀眼明珠+,傳說,和牌時，每有1張筒子的寶牌或紅寶牌則獲得3星幣（強化版：若為魂牌額外+2星幣）,和牌時,±星幣,無成長,"線性,星幣",
S3116.webp,116,星探墨鏡+,傳說,商店中不再出售普通護身符包（強化版：也不會開出最低品質護身符）,擁有時,商店,無成長,無成長,
S3117.webp,117,模仿搗蛋鬼陽菜+,傳說,相鄰的護身符在關卡結束時的效果會觸發2次/所有護身符在關卡結束時的效果會觸發2次,關卡結束時,護身符,無成長,無成長,
S3118.webp,118,失敗的發明+,傳說,（失敗的發明也能賣個幾塊錢！）/（失敗的發明也能賣個幾塊錢！）※兩者相同，無需合併,出售時,±星幣,無成長,"線性,星幣",
S3119.webp,119,活體五索+,傳說,如果待摸牌只剩下3張/6張且聽牌時，這些牌可視為五索以和牌,摸牌時,＋和牌次數,無成長,無成長,
S3120.webp,120,暗流湧動+,傳說,每當你摸到一萬/萬子時，可以與手牌中的任意刻子完成暗杠（3張優先）,摸牌時,配牌/手牌,無成長,無成長,
S3121.webp,121,玻璃火箭+,傳說,如果所有待摸牌均已公開，和牌時，重覆和這張牌2次/3次（每關至多1次）,和牌時,＋和牌次數,無成長,無成長,
S3122.webp,122,丁拉阿神貓+,傳說,每關第1次換牌會優先獲得配牌最多花色的牌（強化版：換牌次數+1）,"關卡開始時,換牌時","＋換牌次數,配牌/手牌",無成長,無成長,
S3123.webp,123,風停了+,傳說,關卡開始時，鎖定所有四風牌/所有字牌並將它們置後,關卡開始時,"＋鎖定牌,待摸牌順序",無成長,無成長,
S3124.webp,124,海盜頭子撫子+,傳說,第3次和牌時，獲得1張普通品質隨機護身符/其升級版（每關一次，要求次數與品質逐漸提升）,和牌時,護身符,"綫性,售出重置","線性,護身符","每達成一次，要求和牌次數+1
3：普通，4：稀有，5：傳說，6+：神話可能攜帶印章"
S3125.webp,125,最後通知+,傳說,關卡開始時，使待摸牌按自動理牌順序排序（強化版：並公開花色待摸牌）,關卡開始時,"待摸牌順序,＋公開牌",無成長,無成長,
S3126.webp,126,花火三重奏+,傳說,同一關卡內完成3次/2次開杠後，剩余待摸牌在聽牌時均必定可以和牌,摸牌時,＋和牌次數,無成長,無成長,
S3127.webp,127,混亂光線+,傳說,關卡開始前，隨機獲得護身符至上限/獲得帶印章的護身符至上限（關卡結束時消失）,"關卡開始前,關卡結束時","護身符,印章",無成長,"線性,護身符",
S3128.webp,128,烙印魔術師萊恩+,傳說,每當打開護身符包時，至少有1張護身符帶印章/品質最高的護身符一定帶印章,打開護身符包時,"商店,印章",無成長,"線性,印章",
S3129.webp,129,喵修斯之船+,傳說,關卡開始時，手牌獲得隨機6/9張上一次和牌時所包含的牌,關卡開始時,配牌/手牌,無成長,無成長,
S3130.webp,130,平穩落地+,傳說,和牌時，如果手牌均為點數3及以下的序數牌，獲得8/12星幣,和牌時,±星幣,無成長,"線性,星幣",國標：全小
S3131.webp,131,月光守護+,傳說,x1番。關卡開始時，如果星幣為0則本護身符番數效果+30%/+50%,和牌時,×番,"指數,售出重置",無成長,
S3132.webp,132,不穩定的護身符+,傳說,關卡開始前，獲得效果！（兩條相同，不需合併）,關卡開始前,護身符,無成長,"線性,護身符",
S3133.webp,133,盜印大盜+,傳說,x1番。關卡結束時，左側相鄰護身符印章消失。每當有1個印章消失時，本護身符番數效果+20%/+30%,"關卡結束時,和牌時","×番,印章","指數,售出重置","線性,印章",
S3134.webp,134,護身禮包+,神話,=+0分。效果量為本輪遊戲累計升級與購買護身符消費星幣的8倍/12倍,和牌時,＋分,"綫性,取決於其他數值",無成長,
S3135.webp,135,天之恩惠+,神話,和牌時，每有1張寶牌或魂牌則+1/2星幣,和牌時,±星幣,無成長,"線性,星幣",
S3136.webp,136,嵐星·影分身+,神話,和牌時覆制右側護身符的效果/+10番並覆制右側護身符的效果（本護身符不會被重覆觸發）,和牌時,"＋番,護身符",無成長,無成長,可以覆制【魔豆(+)】轉化為【通天藤蔓(+)】
S3137.webp,137,魔法開鎖匠柚+,神話,鎖定3張待摸牌。每有1張牌被鎖定時本護身符獲得x2番/x3番；若為魂牌則再獲得x1番/x2番（當前為x1番）,"關卡開始時,和牌時","＋鎖定牌,×番","綫性,售出重置",無成長,
S3138.webp,138,萬象天引+,神話,關卡開始時，擁有1張無法打出的百搭牌（強化版：換牌次數+2）,關卡開始時,"＋換牌次數,配牌/手牌",無成長,無成長,
S3139.webp,139,附魔師卡維+,神話,本護身符一定會有印章。關卡開始前，使左側相鄰/兩側相鄰護身符獲得相同印章,"擁有時,關卡開始前",印章,無成長,"線性,印章",
S3140.webp,140,全能護符改造王+,神話,關卡結束時，使本護身符右側相鄰護身符變為更高1級/2級品質的隨機護身符,關卡結束時,護身符,無成長,"線性,護身符",可以改造為已擁有的護身符，保留印章，神話護身符可以繼續改造成隨機神話護身符
S3141.webp,141,星際黑客淩+,神話,關卡開始前，獲得隨機其他1個最低品質護身符的效果（強化版：換牌次數+1）（關卡結束時失去效果）,"關卡開始前,關卡開始時","＋換牌次數,護身符",無成長,"線性,護身符",獲得護身符效果時保留自身印章，不獲得新的印章
S3142.webp,142,植物學家二之宮+,神話,關卡結束時，隨機使2/3種牌的基礎分值變為與最高數值相同,關卡結束時,＋基礎分值,無成長,"線性,基礎分值",
